종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(퍼센트),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(퍼센트),자격취득자현황(명)
생산관리분야,전체,전체,187239,132805,50644,38.1,82632,70567,26462,37.5,35086
생산관리분야,2016(누적),전체,161267,114331,41919,36.7,67783,57864,20853,36,29477
생산관리분야,2017,전체,5787,4166,1759,42.2,3077,2680,910,34,910
생산관리분야,2017,여자,1421,1056,446,42.2,756,673,237,35.2,237
생산관리분야,2018,전체,4827,3500,1523,43.5,2806,2424,1143,47.2,1143
생산관리분야,2018,여자,1295,973,405,41.6,674,598,297,49.7,297
생산관리분야,2019,전체,5159,3664,1679,45.8,2897,2489,837,33.6,837
생산관리분야,2019,여자,1326,984,458,46.5,737,646,217,33.6,217
생산관리분야,2020,전체,4557,3392,1991,58.7,3407,2849,1562,54.8,1562
생산관리분야,2020,여자,1382,1041,616,59.2,996,845,474,56.1,475
생산관리분야,2021,전체,5642,3752,1773,47.3,2662,2261,1157,51.2,1157
생산관리분야,2021,여자,1711,1171,588,50.2,868,754,367,48.7,367
공정관리,전체,전체,8629,6041,1601,26.5,1191,1049,358,34.1,0
공정관리,2016(누적),전체,8629,6041,1601,26.5,1191,1049,358,34.1,0
품질경영,전체,전체,68402,46690,17951,38.4,31931,26842,11349,42.3,34970
품질경영,2016(누적),전체,42723,28458,9336,32.8,17255,14295,5769,40.4,29390
품질경영,2017,전체,5741,4126,1739,42.1,3046,2653,900,33.9,900
품질경영,2017,여자,1411,1047,440,42,746,664,236,35.5,236
품질경영,2018,전체,4774,3459,1506,43.5,2773,2395,1139,47.6,1139
품질경영,2018,여자,1284,964,401,41.6,663,589,296,50.3,296
품질경영,2019,전체,5099,3617,1644,45.5,2858,2454,835,34,835
품질경영,2019,여자,1310,973,450,46.2,728,639,217,34,217
품질경영,2020,전체,4498,3343,1973,59,3370,2815,1552,55.1,1552
품질경영,2020,여자,1370,1030,614,59.6,989,838,473,56.4,474
품질경영,2021,전체,5567,3687,1753,47.5,2629,2230,1154,51.7,1154
품질경영,2021,여자,1689,1152,584,50.7,864,751,367,48.9,367
품질관리,전체,전체,109150,79211,30765,38.8,49039,42253,14639,34.6,0
품질관리,2016(누적),전체,109150,79211,30765,38.8,49039,42253,14639,34.6,0
포장,전체,전체,1058,863,327,37.9,471,423,116,27.4,116
포장,2016(누적),전체,765,621,217,34.9,298,267,87,32.6,87
포장,2017,전체,46,40,20,50,31,27,10,37,10
포장,2017,여자,10,9,6,66.7,10,9,1,11.1,1
포장,2018,전체,53,41,17,41.5,33,29,4,13.8,4
포장,2018,여자,11,9,4,44.4,11,9,1,11.1,1
포장,2019,전체,60,47,35,74.5,39,35,2,5.7,2
포장,2019,여자,16,11,8,72.7,9,7,0,0,0
포장,2020,전체,59,49,18,36.7,37,34,10,29.4,10
포장,2020,여자,12,11,2,18.2,7,7,1,14.3,1
포장,2021,전체,75,65,20,30.8,33,31,3,9.7,3
포장,2021,여자,22,19,4,21.1,4,3,0,0,0
디자인분야,전체,전체,103404,79922,49761,62.3,63961,51301,22796,44.4,22803
디자인분야,2016(누적),전체,84145,64871,40205,62,52419,41484,18626,44.9,18633
디자인분야,2017,전체,3430,2639,1623,61.5,2076,1754,681,38.8,681
디자인분야,2017,여자,3009,2327,1439,61.8,1871,1594,641,40.2,641
디자인분야,2018,전체,3288,2500,1495,59.8,2045,1705,739,43.3,739
디자인분야,2018,여자,2898,2207,1327,60.1,1801,1515,677,44.7,678
디자인분야,2019,전체,3418,2642,1668,63.1,2136,1818,853,46.9,853
디자인분야,2019,여자,2993,2321,1467,63.2,1897,1627,781,48,781
디자인분야,2020,전체,3819,3146,2175,69.1,2017,1775,667,37.6,667
디자인분야,2020,여자,3207,2650,1828,69,1797,1586,617,38.9,617
디자인분야,2021,전체,5304,4124,2595,62.9,3268,2765,1230,44.5,1230
디자인분야,2021,여자,4460,3456,2152,62.3,2714,2310,1098,47.5,1098
서비스·경험디자인,전체,전체,2162,1780,1460,82,1049,920,197,21.4,197
서비스·경험디자인,2020,전체,744,609,550,90.3,0,0,0,0,0
서비스·경험디자인,2020,여자,509,409,375,91.7,0,0,0,0,0
서비스·경험디자인,2021,전체,1418,1171,910,77.7,1049,920,197,21.4,197
서비스·경험디자인,2021,여자,1030,837,652,77.9,734,650,140,21.5,140
제품디자인,전체,전체,1792,1385,514,37.1,560,459,225,49,232
제품디자인,2016(누적),전체,1605,1240,424,34.2,477,384,176,45.8,183
제품디자인,2017,전체,34,24,19,79.2,19,16,7,43.8,7
제품디자인,2017,여자,17,14,12,85.7,12,10,5,50,5
제품디자인,2018,전체,40,32,23,71.9,22,21,19,90.5,19
제품디자인,2018,여자,19,13,9,69.2,7,7,7,100,7
제품디자인,2019,전체,38,30,13,43.3,10,9,7,77.8,7
제품디자인,2019,여자,19,14,7,50,6,6,5,83.3,5
제품디자인,2020,전체,33,25,16,64,9,9,4,44.4,4
제품디자인,2020,여자,19,15,10,66.7,4,4,2,50,2
제품디자인,2021,전체,42,34,19,55.9,23,20,12,60,12
제품디자인,2021,여자,25,22,14,63.6,17,14,8,57.1,8
시각디자인,전체,전체,6922,5479,3610,65.9,4203,3620,1798,49.7,1798
시각디자인,2016(누적),전체,5232,4089,2591,63.4,3087,2595,1205,46.4,1205
시각디자인,2017,전체,323,250,189,75.6,181,165,67,40.6,67
시각디자인,2017,여자,250,196,146,74.5,137,127,52,40.9,52
시각디자인,2018,전체,259,212,156,73.6,196,180,137,76.1,137
시각디자인,2018,여자,199,158,118,74.7,146,133,107,80.5,107
시각디자인,2019,전체,328,281,196,69.8,205,178,111,62.4,111
시각디자인,2019,여자,255,220,153,69.5,159,135,87,64.4,87
시각디자인,2020,전체,362,302,241,79.8,258,246,121,49.2,121
시각디자인,2020,여자,297,249,200,80.3,211,200,104,52,104
시각디자인,2021,전체,418,345,237,68.7,276,256,157,61.3,157
시각디자인,2021,여자,348,292,205,70.2,234,219,140,63.9,140
컬러리스트,전체,전체,92528,71278,44177,62,58149,46302,20576,44.4,20576
컬러리스트,2016(누적),전체,77308,59542,37190,62.5,48855,38505,17245,44.8,17245
컬러리스트,2017,전체,3073,2365,1415,59.8,1876,1573,607,38.6,607
컬러리스트,2017,여자,2742,2117,1281,60.5,1722,1457,584,40.1,584
컬러리스트,2018,전체,2989,2256,1316,58.3,1827,1504,583,38.8,583
컬러리스트,2018,여자,2680,2036,1200,58.9,1648,1375,563,40.9,564
컬러리스트,2019,전체,3052,2331,1459,62.6,1921,1631,735,45.1,735
컬러리스트,2019,여자,2719,2087,1307,62.6,1732,1486,689,46.4,689
컬러리스트,2020,전체,2680,2210,1368,61.9,1750,1520,542,35.7,542
컬러리스트,2020,여자,2382,1977,1243,62.9,1582,1382,511,37,511
컬러리스트,2021,전체,3426,2574,1429,55.5,1920,1569,864,55.1,864
컬러리스트,2021,여자,3057,2305,1281,55.6,1729,1427,810,56.8,810
건축분야,전체,전체,1336377,932087,287352,30.8,680830,526706,164005,31.1,178224
건축분야,2016(누적),전체,1159304,809673,241822,29.9,589740,453167,133308,29.4,147527
건축분야,2017,전체,32929,22488,7154,31.8,15262,12444,5264,42.3,5264
건축분야,2017,여자,9358,6775,2176,32.1,4470,3769,1616,42.9,1616
건축분야,2018,전체,33322,23021,7957,34.6,15729,12771,5354,41.9,5354
건축분야,2018,여자,9794,7187,2561,35.6,4691,3907,1785,45.7,1785
건축분야,2019,전체,36065,24709,8931,36.1,17459,14186,5928,41.8,5928
건축분야,2019,여자,10892,7969,3011,37.8,5377,4525,1948,43,1948
